######################################################################################
# PhishScore | PhishStats                                                            #
# Score ranges: 0-2 likely 2-4 suspicious 4-6 phishing 6-10 omg phishing!            #
# Ranges may be adjusted without notice. List updated every 90 minutes. Do not crawl #
# too much at the risk of being blocked.                                             #
# Many Phishing websites are legitimate websites that have been hacked, so keep that #
# in mind before blocking everything. Feed is provided as is, without any warrant.   #
# CSV: Date,Score,URL,IP                                                             #
######################################################################################
"2022-01-27 01:38:50","3.40","http://www.yamafr.shop/","216.118.235.114"
"2022-01-27 01:38:40","2.50","http://www.interbankempresahomeweb.gadgetngallery.com/","148.163.89.221"
"2022-01-27 01:38:39","4.00","http://www.interbankempresahomeweb.actvsoft.com/","198.38.82.163"
"2022-01-27 01:38:11","4.50","https://www.uc.joaeoc.com/","23.94.159.198"
"2022-01-27 01:38:09","5.10","https://www.smbc.co.jp.hxxjb.com","104.129.12.253"
"2022-01-27 01:37:57","5.10","https://www.si.mloescb.com/","23.94.159.201"
"2022-01-27 01:37:55","5.10","https://www.rx.mloescb.com/","23.94.159.201"
"2022-01-27 01:37:53","4.10","https://www.ev.joaeoc.com/","23.94.159.198"
"2022-01-27 01:37:51","4.60","https://www.cz.joaeoc.com/","23.94.159.198"
"2022-01-27 01:37:49","4.60","https://www.coae.mloescb.com/","23.94.159.201"
"2022-01-27 01:37:47","6.00","https://www.365cpcj.com/","104.168.247.233"
"2022-01-27 01:37:32","1.80","http://supportdapps.com","198.38.82.246"
"2022-01-27 01:37:29","1.70","https://smbcrdt.xyz/","91.204.226.173"
"2022-01-27 01:37:08","5.70","https://sarhresources.com/admin/controller/extension/extension/next.html","162.241.123.81"
"2022-01-27 01:36:50","6.50","https://nabmanagesupportau.com/Login.php","185.61.153.115"
"2022-01-27 01:36:31","2.90","https://dhl-australia.blogspot.com/","142.251.32.97"
"2022-01-27 01:36:23","1.10","https://click.mlsend.com/link/c/YT0xODY1Njc2NDU4NzE0NzMyOTE3JmM9cjhoMyZlPTAmYj04NzIxNTk1NjcmZD1kNXU4aTlw.338XYnLsjsOMrkq_UUuwIjhtdCJjkmhxxoKIv23JCK0","104.17.108.239"
"2022-01-27 01:36:19","1.50","https://brookstennisshoessale.com","165.231.10.59"
"2022-01-27 01:36:13","1.00","https://abre.ai/dPn7?userid=y8zCIus2","104.131.99.102"
"2022-01-26 22:45:53","3.00","http://www.sczn-securewallet.com","66.147.230.55"
"2022-01-26 22:45:50","2.80","http://www.remzicakar.com.tr/realty","46.28.237.180"
"2022-01-26 22:45:35","2.20","http://www.ragtag.jp/blog/mt/lib/redirection","23.33.40.140"
"2022-01-26 22:45:33","4.70","http://www.online365review-service.com","34.159.64.91"
"2022-01-26 22:45:31","2.80","http://www.oakfields.in/logan08","199.101.134.84"
"2022-01-26 22:45:30","2.50","http://www.mdgold.com.tr/wp-admin/css/colors/ocean/ocean","5.180.184.223"
"2022-01-26 22:45:28","5.00","http://www.filmkenner.com/filme-mit-mikhail-porechenkov-und-varvara-porechenkova","109.237.132.6"
"2022-01-26 22:45:26","5.70","http://www.amznactivation.duckdns.org/games20/mazon/903c4","159.223.186.65"
"2022-01-26 22:45:22","5.90","http://web-email-docs.tk/adobe/RHA/security","142.11.193.43"
"2022-01-26 22:45:20","5.90","http://web-docs-rha.ga/adobe/RHA/security","142.11.193.43"
"2022-01-26 22:45:17","3.60","http://vkophoto.ru","141.8.192.6"
"2022-01-26 22:42:50","2.90","http://tracio.largoindustries.com/StbP_ct","2606:4700:3033::6815:4a5d"
"2022-01-26 22:42:48","5.10","http://tangcejun.com/mazon/7ae97/homepage","121.43.148.217"
"2022-01-26 22:42:45","4.90","https://www.movil-es.be","212.109.222.125"
"2022-01-26 22:42:43","2.40","https://www.hkdgroup.com","151.237.185.32"
"2022-01-26 22:42:41","3.90","https://www.atlasjit.com/Andeystrice","209.151.194.162"
"2022-01-26 22:42:39","5.00","https://www.aggiorna-anagrafe-utenti.com","44.227.238.106"
"2022-01-26 22:42:38","6.50","https://wwm77248-veri-12.from-la.net/ch92877po/ch7724100po/manage/","162.0.230.63"
"2022-01-26 22:42:37","3.00","https://wooplayer.com/shareofcinvoiceNew2021/sharevps","172.67.156.88"
